Единица освещенности.|люкс
Название недвижимого - земельного - имущества, принадлежащего совокупно всей императорской фамилии (в Российском государстве до 1917 г.).|удел
Птица с пестрым оперением, веерообразным хохолком и изогнутым клювом.|удод
Количество молока, надоенного за один раз или за период времени.|удой
Административно-территориальная единица, входившая в состав губернии (в Российском государстве до введения районирования, т.е. до 1929 г.).|уезд
Совокупность волостей, тяготевших к городу (на Руси IX-XIII вв.).|уезд
Чувство сильного страха, испуга, приводящее в состояние подавленности, оцепенения, трепета.|ужас
Безвыходность, трагичность.|ужас
Изумление, вызванное негодованием, отвращением.|ужас
Принятие пищи вечером.|ужин
Вечерний прием гостей с угощением.|ужин
Надеваемые на голову лошади ремни с удилами и поводьями как часть конской сбруи.|узда
Место, где связаны концы или петля, затянутая.|узел
Тугое, тесное переплетение волокон, нитей, волос и т.п.|узел
Вещи, увязанные в платок или кусок ткани.|узел
Морская мера скорости, равная числу морских миль пройденных в час.|узел
Многолетнее травянистое растение семейства розоцветных; лапчатка.|узик
Рисунок, представляющий собою сочетание линий, красок, теней и т.п.|узор
Общепринятое употребление языковой единицы (в лингвистике).|узус
Обычай, обыкновение (в юриспруденции).|узус
Постановление, распоряжение верховного органа власти или главы государства, имеющее силу закона.|указ
Укус насекомого.|укол
Удар колющим оружием.|укол
Подкожное, внутримышечное или внутривенное впрыскивание; инъекция.|укол
Упрек, порицание.|укор
Количество скошенного сена, хлеба.|укос
Укушенное место.|укус
Птица семейства фазановых; горная индейка.|улар
Специально устроенный ящик или выдолбленная колода для содержания пчел.|улей
Птица отряда куликов.|улит
Количество пойманной рыбы.|улов
Становище кочевников, табор кибиток.|улус
Союз государств под властью одного монарха.|уния
Объединение на основе договора.|уния
Объединение православной и католической церквей с признанием главенства папы римского при сохранении традиционных форм православной обрядности.|уния
Пара лошадей - обычно первая - в запряжке четверней и более.|унос
Качество выпечки.|упек
Разница между весом теста, посаженного в печь, и весом выпеченного хлеба.|упек
Место, предмет, дающие возможность опереться.|упор
Одна из девяти - седьмая от Солнца - больших планет Солнечной системы.|уран
Радиоактивный химический элемент.|уран
Человек или животное с физическим недостатком.|урод
Учебная работа, задание, которые даются учащемуся для подготовки к следующему занятию.|урок
Учебный час или иной промежуток времени, установленный для проведения учебного занятия.|урок
Утрата, потеря, ущерб, убыток.|урон
Мелкие сушеные абрикосы с косточками.|урюк
Рыба семейства карповых.|усач
Один из древесных паразитов - жук, личинки которого питаются древесиной; дровосек.|усач
Рот, губы.|уста
Отвесная скала.|утес
Водоплавающая птица с широким плоским клювом, короткой шеей и широко расставленными ногами; самка селезня.|утка
Сосуд с длинным носом для приема мочи, подаваемый лежачим больным.|утка
Приспособление на борту судна для временного закрепления конца причального каната.|утка
Поперечные нити ткани, переплетающиеся с продольными, составляющими основу.|уток
Нарезка в конце деревянного сосуда - бочки, кадки и т.п. - для вставки дна.|утор
Название времени суток от окончания ночи до наступления дня; начало дня, первые часы дня.|утро
Хозяйственный прибор для глаженья белья, платья и т.п.|утюг
Выбоина, рытвина, яма на дороге.|ухаб
Старинное судно.|учан
Регистрация с занесением в списки лиц, предназначенных для использования.|учет
Установление наличности.|учет
Летучая мышь с длинными ушами.|ушан
Деревянная кадка с двумя выступающими друг против друга боковыми дощечками - ушами, с прорезанными в них круглыми отверстиями, сквозь которые продевается палка для подъема, ношения.|ушат
Мелкие макаронные изделия в виде фигурных кусочков теста.|ушки
местн. Маленькие пельмени.|ушки
Приспособление сбоку у различных предметов для более удобного их подъема, держания, подвешивания и т.п.|ушко
Отверстие в тупом конце иглы, в которое продевается нитка.|ушко
Денежная единица современного Китая.|юань
Монета соответствующего достоинства.|юань
Женская одежда от талии книзу (прямая, суженная в подоле, расширяющаяся свободными складками и т.п.).|юбка
Боковые стенки цилиндрического изделия или их нижняя часть.|юбка
Вечнозеленое растение семейства лилейных с длинными колючими листьями и желтовато-белыми цветками.|юкка
Добродушный смех, незлобивая насмешка.|юмор
Прием в произведениях литературы и искусства, основанный на изображении в комическом, смешном виде.|юмор
Подросток на судне, обучающийся морскому делу и готовящийся стать моряком.|юнга
Младший матрос во флотах некоторых стран.|юнга
Переносное - обычно конусообразное - жилище некоторых народов Центральной и Средней Азии и Сибири, состоящее из остова, покрытого войлоком или шкурами.|юрта
Колючий кустарник семейства крушинных с мелкими цветками, зубчатыми листьями и съедобными плодами.|ююба
Конспиративная встреча.|явка
Крупное лиственное дерево семейства кленовых с большими пятилопастными листьями; клен белый.|явор
Внутренняя часть плода, покрытая твердой оболочкой.|ядро
Внутренняя, средняя, центральная часть.|ядро
Старинный артиллерийский снаряд шарообразной формы.|ядро
Спортивный снаряд для толкания в виде металлического шара.|ядро
Гноящаяся или воспаленная рана на поверхности кожи или слизистой оболочки.|язва
Подвижный мышечный орган в ротовой полости позвоночных животных и человека, способствующий захватыванию, пережевыванию и т.п. пищи.|язык
Исторически сложившаяся система словесного выражения мыслей, обладающая определенным звуковым, лексическим и грамматическим строем и служащая средством общения в человеческом обществе.|язык
Совокупность средств выражения в словесном творчестве.|язык
Способность говорить, выражая словесно свои мысли.|язык
Система знаков, передающих информацию; то, что служит средством бессловесного общения.|язык
Плоская безлесная местность в крымских горах, используемая как летнее пастбище.|яйла
Женская половая клетка животных и растительных организмов, после оплодотворения развивающаяся в новый организм; яйцеклетка.|яйцо
Женская половая клетка у насекомых в виде небольшой, обычно овальной формы крупинки.|яйцо
Женская половая клетка у птиц, заключенная в скорлупу овальной формы и употребляемая в пищу.|яйцо
Небольшая шлюпка с одной или двумя парами весел.|ялик
Название некоторых органов у низших животных.|ямка
Божество времени, всякого начала и конца, входа и выхода, двумя своими лицами - старым и молодым - обращенными в прошедшее и настоящее (в древнеримской мифологии).|янус
Двуличный человек.|янус
Молодая, еще не ягнившаяся овца.|ярка
Деревянный хомут для упряжки рабочего крупного рогатого скота.|ярмо
Часть электрической машины, аппарата, соединяющая между собою полюсы.|ярмо
Ряд горизонтально расположенных предметов, растений и т.п.|ярус
Этаж во внутреннем помещении театра, где на одном уровне вдоль стен размещены места для зрителей.|ярус
Совокупность горных пород, образовавшихся в течение геологического века (в геологии).|ярус
Рыболовная снасть беломорских рыбаков для ловли трески в виде длинной веревки с укрепленными на ней крючками на поводках.|ярус
Натуральный налог (пушниной, скотом и т.п.), которым облагались народы Поволжья, Сибири и Дальнего Востока (на Руси и в Российском государстве до 1917 г.).|ясак
Кормушка для скота в виде ящика, наклонно прикрепленного к стене или сужающегося книзу.|ясли
Воспитательное и здравоохранительное учреждение для самых маленьких детей, где они находятся во время работы их родителей.|ясли
Парусное, парусно-моторное или моторное судно различной формы и разных размеров, служащее для спортивных, прогулочных или туристских целей.|яхта
Плотная твердая мелкозернистая горная порода, отличающаяся разнообразием окрасок, причудливостью рисунка и использующаяся для изготовления художественных поделок или технических изделий.|яшма
Обитающее в Азии и Африке млекопитающее с удлиненным телом, покрытым роговыми чешуями, с длинным хвостом, небольшой головой и вытянутой мордой, с короткими лапами и мощными кривыми когтями.|ящер
Полый предмет, состоящий из четырех стенок и дна (иногда и крышки), сделанных из досок, фанеры и т.п. и служащий для укладки, хранения и переноски.|ящик
Острое вирусное заболевание крупного рогатого скота (реже - других животных и человека), сопровождающееся тяжелым поражением пищеварительного тракта и кожи.|ящур
Настоятель католического мужского монастыря.|аббат
Католический священник во Франции.|аббат
Орган военной разведки и контрразведки в Германии в 1919-1944 гг.|абвер
Отступ вправо в начале первой строки части печатного или рукописного текста; красная строка.|абзац
Самопроизвольное или искусственное прерывание беременности в первые 28 недель.|аборт
Горец-партизан (в период становления царизма на Северном Кавказе).|абрек
Линейное очертание предмета; контур.|абрис
Деньги или другие материальные ценности, выдаваемые в счет предстоящих платежей.|аванс
Союз племен (обычно тюркоязычных), вторгшихся в VI в. в придунайские области и образовавших самостоятельное государство.|авары
Минерал группы пироксенов, входящий в состав габбро, базальта и других горных пород.|авгит
Жрец, толкующий волю богов и предсказывающий будущее по крику и полету птиц (в Древнем Риме).|авгур
Работа на судне по специальному заданию или по тревоге (обычно выполняемая всей командой).|аврал
Смазочное масло для автомобильных, тракторных и т.п. двигателей, получаемое из нефти.|автол
Создатель произведения (литературно-художественного, музыкального, научного и т.п.), проекта, изобретения.|автор
Многолетнее тропическое растение с крупными, жесткими и по краям колючими листьями, идущими на изготовление волокна.|агава
Крупная ящерица, способная изменять окраску тела, широко распространенная в Африке, Австралии, Юго-Восточной Европе и Южной Азии.|агама
Семейство крупных ящериц, к которому относятся летучие драконы, круглоголовки, шипохвосты и т.п.|агамы
Представитель организации, учреждения, выполняющий служебные поручения.|агент
Сотрудник разведки государства; разведчик.|агент
Тайный сотрудник полиции некоторых государств, занимающийся сыском и слежкой за политически неблагонадежными лицами; сыщик.|агент
Действующий фактор, причина, вызывающие различные явления в природе, в организме человека или животного и т.п.|агент
Декоративный элемент, соединяющий вершину арки с горизонтальным выступом карниза, антаблемента и т.п., обычно украшаемый резьбой (в архитектуре).|аграф
Народ нахско-дагестанской этноязыковой группы, живущий в Дагестане.|агулы
Приверженец учения, идеи.|адепт
Местожительство лица или местонахождение учреждения, предприятия и т.п.|адрес
Письменное приветствие, поздравление лицу, учреждению, организации (обычно по случаю юбилея).|адрес
Код, определяющий место хранения в памяти электронной вычислительной машины (в информатике).|адрес
Старинная бухарская или персидская полушелковая ткань с пестрыми узорами, из которой шили халаты и архалуки.|адряс
Однолетнее растение семейства зонтичных, разводимое в странах Африки и Востока как эфиромасличная культура.|ажгон
Возбуждение, вызванное увлеченностью.|азарт
Род и родовой удел (у тюркских и монгольских народов).|аймак
Район как административно-территориальная единица (в Бурятии и Горно-Алтайской автономной области России).|аймак
Основная административно-территориальная единица (в Монголии).|аймак
Молочный продукт, вкусом напоминающий кефир (распространенный в Сибири, Средней Азии, Крыму и на Кавказе).|айран
Южное травянистое или кустарниковое растение с крупными, собранными в виде розеток, зубчатыми листьями.|акант
Разновидность синтетического волокна.|акрил
Отросток нервной клетки, проводящий импульс от тела клетки к другим нервным клеткам и органам.|аксон
